TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:00,0.00,-3451,-316,DFA9E5,A31D66,552962,-889E26,
0:00:00,0.00,-3451,-316,DFA9E5,A31D66,552962,-889E26,
0:00:02,0.00,-71EAE7,-3E9,DFA9F8,A31A50,51338C,538DD,
0:00:04,0.00,-952189,-3AE,DFA9FC,A31E6F,-1D2C8,-605BE7,
0:00:05,0.00,-65F13A,-390,DFAA01,A31A4E,-11D8D2,4C7CE9,
0:00:06,0.00,-BDE4F,-358,DFA9FF,A3198D,738F85,2633F3,
0:00:07,0.00,-4A65F6,-32B,DFAA00,A31BE0,693436,4CA05C,
0:00:08,0.00,-3741C1,-31A,DFA9F4,A323ED,-120F71,-2532C9,
0:00:09,0.00,BFB0,-2E4,DFA9F0,A325AB,CC6F1C,3BFA5A,
0:00:11,0.00,411566,-2BB,DFA9FB,A32C94,7C84F7,22F40,
0:00:12,0.00,254F88,-29E,DFA9F9,A33544,59F4F5,-5D995E,
0:00:13,0.00,-15C478,-275,DFA9F9,A32F85,51C378,-4276,
0:00:14,0.00,-2E8984,-262,DFAA05,A3318E,5489FB,-22C4,
0:00:15,0.00,-2903C8,-245,DFA9EC,A3334C,5BEF72,5D98,
0:00:16,0.00,-227617,-25A,DFA9E8,A34988,6EB4D2,-275E,
0:00:18,0.00,-ACA760,-20F,DFA9FA,A46633,5D8DBE,-2867,
0:00:19,0.00,326A20,-209,DFA9EC,A40FA3,73132A,-D592D0,
0:00:20,0.00,-1D0E9B,-1E8,DFA9F9,A3F139,55A8C3,D73BB,
0:00:21,0.00,-59867B,-1E8,DFAA09,A3ED59,604B44,-264A,
0:00:22,0.00,260D54,-1DC,DFAA11,A3E95D,579DB3,-2A6D,
0:00:23,0.00,-ED9453,-1E4,DFA9DA,A3EE9C,51B379,-266D,
0:00:25,0.00,2E7C4C,-1D6,DFAA08,A3EB9E,71184C,11236,
0:00:26,0.00,32C34B,-1B2,DFAA07,A3ED22,5F70BA,F41C,
0:00:27,0.00,1A5B72,-1B7,DFA9E2,A3EB8D,5287F0,-22CE,
0:00:28,0.00,-A3F1E2,-1A3,DFA9FB,A3EF36,5BDE86,-31F4,
0:00:29,0.00,-C2142,-199,DFA9E7,A3F718,499D4A,-2E42,
0:00:30,0.00,-2897AA,-17E,DFA9F5,A3F0EE,52B20D,-20F4,
0:00:32,0.00,-44B99C,-18B,DFA9EE,A3EEEE,5BEF1A,-2A25,
0:00:33,0.00,-2A94E1,-174,DFA9F2,A3EBD6,56A097,-40BE,
0:00:34,0.00,86571,-183,DFA9F4,A3EB95,514B49,-25A0,
0:00:35,0.00,-697BAC,-155,DFA9FF,A3E1CB,5FC559,C475,
0:00:36,0.00,21E605,-16D,DFA9EB,A3EB54,51EE8D,-258B,
0:00:37,0.00,-29A69C,-16D,DFA9F4,A3DED6,5519C1,-2B05,
0:00:39,0.00,-3B4F47,-52E6F1,DFA9F4,A3DC58,777A47,220F1,
0:00:40,0.00,156986,-519070,DFA9FB,A3D509,573E2A,-31F4,
0:00:41,0.00,-9F57F0,-518029,DFAA01,A3D958,53ADDC,-2C8D,
0:00:42,0.00,-4F57AF,-51BBED,DFA9FA,A3DD65,584296,-1E11,
0:00:43,0.00,-C8349E,-9C6723,DFA9EE,A3D8FA,50CEB1,-A98D,
0:00:44,0.00,-8640B9,-9CA49E,DFA9FA,A3E741,742695,18DEF,
0:00:46,0.00,-8C0CB4,-9CA81D,DFA9F7,A3D229,7130F2,244C1,
