TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:02,0.00,4F93AF,59CD42,D870FF,4EDB5,-B47B9,-9E055,
0:00:04,0.00,4F9405,59C168,D87754,12C7B7,682CF,-AAD2D,
0:00:06,0.00,4F90AC,59BE29,D87E7C,F0856,25C71,-276C3,
0:00:08,0.00,4F8E5C,59BCA4,D88337,-32924,-6EB92,7609D,
0:00:10,0.00,4F8A78,59B917,D88850,3293C,-72917,58715,
0:00:12,0.00,4F905C,59B477,D88D63,DED3,-4956F,-69AB9,
0:00:14,0.00,4F8F78,59AF89,D89327,B4EB2,-400C3,-75811,
0:00:16,0.00,4F93B4,59B0EE,-317F,72D75,2E9E8,-90111,
0:00:17,0.00,4F905C,59E53A,47C37,937A4,50619,A20B6,
0:00:18,0.00,7CEF18,5B43E6,261AE,-971FB,BF309,B08E,
0:00:19,0.00,A492BC,12D409,28F56,7965D,C738,16ED9,
0:00:20,0.00,A47A99,12BE35,-52660,19F76,B2733,-51654,
0:00:22,0.00,A475BE,130BD6,1A9FA,-9E4C4,4D610,-6A671,
0:00:23,0.00,A4745F,137CB5,-5B509,4EEC8,-896F0,6AAFF,
0:00:24,0.00,A46A08,47E303,605BD,-A0908,-7B651,E5B1D,
0:00:25,0.00,A43815,7C5065,-13A5D,89292,-2F999,FC42,
0:00:26,0.00,A4BB2C,7F721C,-A934,-4B87,-5EF83,-361B9,
0:00:29,0.00,CE6F81,8A9CF1,-7082B,7E696,-AE9C1,6D003,
0:00:31,0.00,CE6A2D,8A7082,-3D981,1D27,7B2C6,38D02,
0:00:34,0.00,CE5784,8A67A8,-9848,-C98,-84FFB,-DACDF,
0:00:36,0.00,CE1EC6,8A60A5,-41F2D,4BB58,7B952,-119ABB,
0:00:38,0.00,CE0E3D,8A6268,-328EE,-70C4,-67648,862E,
0:00:40,0.00,CE0140,8A6479,-5930C,-9A1BE,EA7F4,91881,
0:00:42,0.00,CE0024,8A5F95,59309,-25188,1CBB3,2740A,
0:00:44,0.00,CDFE81,8A5D93,2764B,-5D7A9,-102FCE,-BB751,
0:00:46,0.00,CDF273,8ABCC9,4948,3EA3F,89158,-60899,
0:00:48,0.00,B870BC,EEFBDC,-21859,AEC85,6C39D,2072,
0:00:50,0.00,AA1239,F00177,-128AB,81C6C,-4E279,-3A14C,
0:00:52,0.00,BD870B,1000000,8332,5F716,-3B721,77190,
0:00:54,0.00,B1EC00,1000000,-4B6F1,29045,-60866,5EF0E,
0:00:56,0.00,EC1A78,F9F6D5,-245EB,4A9A0,D2481,-38E8D,
0:00:58,0.00,9B7766,BDA779,-92FF,8D610,-67886,-3139E,
0:01:00,0.00,78B94A,7A0DED,-11C1E,85F0B,B79CB,-46664,
0:01:02,0.00,5061E6,9A582,-2603A,-C6AB0,70092,-A23F0,
0:01:04,0.00,55BE0A,28DB5,-7FF4,9F629,D8C9E,-44FA2,
0:01:06,0.00,6BA672,54460C,4E797,AE8FD,3E897,4495E,
0:01:08,0.00,323C89,81E526,-5E365,DABAD,DEED9,CCE9,
0:01:10,0.00,75941F,7E1EC8,-13F9F,8E67E,-1059,-14333,
0:01:12,0.00,7590C2,7E05B1,-A904,75D74,-AF88B,-428B0,
0:01:14,0.00,759160,7DE732,-1550C,F567A,79C0C,-2240F,
0:01:16,0.00,758AF7,7DD58C,17682,5BA59,71911,48623,
0:01:18,0.00,758E6A,7DC968,-1DEE7,-DDA0,E65EF,-29477,
0:01:20,0.00,75870B,7DC3BB,-1EFFA,812A8,126C5,-88266,
0:01:22,0.00,7588C7,7DBE6C,66FB3,1138BB,65F6C,-793C7,
0:01:24,0.00,758BFF,7DB91A,-C63C,6A548,450C,2DE,
0:01:26,0.00,758C83,7DB39C,-2735C,6A57F,-41EB3,-16DEE5,
0:01:28,0.00,758A6E,7DB400,-1177E,6EBB0,-728BE,12057,
0:01:30,0.00,758C32,7DB2EC,2688D,-7731D,53790,6E1AF,
0:01:32,0.00,759161,7DB044,249C2,-418CB,-101812,1279C,
0:01:34,0.00,7591CC,7DAEC7,118EC,781B,F21CF,CBB1,
0:01:36,0.00,758FA1,7DAC61,76E6F,147F66,50F29,-7F0A2,
